id,session,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
PH_008,F0,885,580,2296,1394,645,3687,4162,3548,1094,5301,2668,3451,2038,2493,574,1395,1627,619,1334,1501,4280,1323,4460,4326,804,5731,6882,5967,4320,4413,262,581,656,2471,800,542,1884,1887,655,3476,5015,3219,958,5245,2935,3809,1926,2877,648,1483,1427,825,1271,1503,3827,1178,4669,4666,466,6327,6713,5609,3468,4219,305,620,405,2269,2.73461,2.68807,87766.5,87128,1671170.078
PH_008,F1,889,564,2286,1402,657,3590,4157,3508,1071,5378,2750,3402,1940,2427,573,1388,1611,627,1294,1500,4247,1272,4371,4333,773,5712,6860,5985,4259,4451,269,612,619,2430,774,532,1866,1896,730,3559,5053,3136,949,5309,2780,3747,1873,2785,632,1499,1445,810,1274,1510,3867,1190,4635,4662,464,6197,6756,5650,3427,4239,300,613,399,2249,2.75983,2.70466,87206,86808.6,1671170.078
PH_008,F2,879,585,2266,1383,688,3722,4150,3512,1103,5337,2697,3402,2022,2500,570,1403,1642,614,1313,1512,4299,1326,4394,4340,817,5724,6783,5978,4272,4416,261,627,626,2558,784,530,1879,1877,636,3549,5077,3243,960,5327,2873,3681,1903,2881,630,1496,1441,820,1263,1514,3809,1190,4650,4659,455,6192,6753,5641,3422,4272,303,620,392,2214,2.7326,2.68181,87720.7,86937.8,1671170.078
PH_009,F0,958,516,2237,1444,463,3143,3959,3015,851,4575,2483,2780,1872,2499,535,1311,1647,692,1170,1287,4057,1129,4785,3979,652,5073,6414,4832,3676,4251,219,468,474,2159,802,614,1862,1452,392,2515,5409,3239,737,4691,2455,2652,2055,3273,514,1397,1367,839,1237,1407,3467,993,4798,4519,543,5134,6442,5356,3420,3294,311,445,343,2299,2.58955,2.56434,79604,80272.5,1438633.057
PH_009,F1,959,523,2232,1476,537,3144,4010,3040,830,4479,2540,2788,2031,2607,534,1295,1659,698,1196,1233,4036,1169,4817,4004,679,5193,6490,4763,3745,4290,224,502,454,2184,802,647,1873,1510,390,2471,5400,3235,712,4664,2419,2813,2034,3282,522,1401,1364,851,1222,1430,3393,1010,4771,4530,596,5184,6482,5245,3388,3292,314,495,334,2147,2.56784,2.54691,80361.1,80223.3,1438633.057
PH_009,F2,974,530,2209,1502,548,3189,3993,2985,842,4593,2570,2843,2269,2517,543,1301,1668,660,1185,1271,4126,1180,4803,4023,669,5107,6443,4821,3730,4298,218,480,514,2189,796,632,1910,1470,384,2561,5371,3166,728,4755,2482,2719,2148,3253,512,1398,1372,845,1238,1422,3501,1000,4890,4520,559,5122,6443,5414,3438,3312,293,425,361,2371,2.58111,2.54838,80792.9,80810.5,1438633.057
PH_101,F0,744,455,1760,1373,395,2425,3071,2932,858,4526,2284,2738,1599,2582,579,1088,1235,570,1127,1607,3631,822,4442,2602,755,4568,6144,4024,3789,3547,237,354,523,1988,760,534,1631,1320,386,2350,4244,2809,702,4902,2142,2813,1699,3139,451,1308,1293,647,1244,1541,3522,886,4341,3046,472,4335,5719,3961,3285,2487,289,374,313,1865,2.532,2.53358,71372.9,70812.1,1338916.824
PH_101,F1,746,455,1722,1375,440,2427,3128,2868,846,4517,2358,2719,1949,2583,568,1082,1245,577,1147,1609,3633,829,4389,2557,741,4553,6236,3992,3727,3518,239,365,527,2071,779,511,1612,1305,371,2371,4266,2911,752,4863,2240,2905,1699,3213,451,1320,1274,642,1227,1531,3476,893,4351,3060,435,4261,5804,3948,3256,2506,262,350,331,1816,2.57861,2.59818,71739.2,70990.1,1338916.824
PH_101,F2,750,465,1742,1405,414,2459,3189,2957,865,4614,2410,2724,1778,2616,589,1104,1269,581,1142,1615,3706,857,4498,2575,760,4631,6304,4108,3815,3567,264,349,581,2007,754,552,1674,1349,386,2382,4301,2916,755,4933,2128,2920,1697,3241,445,1345,1305,635,1234,1563,3628,900,4510,3091,537,4374,5911,4056,3317,2498,292,378,311,1852,2.59156,2.59508,72710,72171.2,1338916.824
PH_102,F0,787,443,1649,1126,456,2589,3406,2308,770,3673,2054,2314,1666,2594,597,1175,1427,603,1053,1090,3234,909,3826,3057,711,4545,5183,4516,3071,3277,219,370,387,2256,685,524,1466,1269,397,2624,3651,2438,626,3810,2366,2469,1535,2815,528,1307,1215,657,1193,1233,2948,1003,3776,3425,434,4561,5610,4073,3030,2679,286,415,300,2000,2.59236,2.60788,67340.7,67346.8,1282996.731
PH_102,F1,784,429,1676,1136,460,2666,3331,2296,745,3690,2060,2299,1646,2495,587,1179,1426,627,1051,1073,3270,884,3930,3051,698,4447,5307,4502,3101,3285,220,452,422,2230,687,538,1478,1290,390,2789,3705,2464,653,4038,2421,2537,1498,2761,544,1317,1232,656,1197,1263,3030,985,3902,3444,430,4579,5783,4128,3018,2704,287,426,307,1968,2.5924,2.59512,67456.3,68451.8,1282996.731
PH_102,F2,772,462,1706,1146,438,2831,3363,2320,782,3819,2031,2447,1683,2546,601,1251,1439,605,1054,1047,3327,911,4060,3029,682,4389,5386,4509,3125,3271,224,360,399,2225,677,523,1476,1333,372,2723,3678,2435,637,4033,2414,2531,1495,2799,540,1370,1207,641,1180,1250,3102,986,3973,3427,438,4331,5694,3991,3088,2696,243,418,338,2014,2.54195,2.54557,68238.4,68054,1282996.731
PH_103,F0,873,803,2289,1613,447,2952,3811,3526,704,5111,2801,2825,1989,2882,649,1480,1635,584,1209,1432,4007,1174,5301,4003,891,5387,7102,5344,3846,4153,237,458,492,2452,870,685,2320,1772,430,3263,4593,3013,902,4860,2413,3522,1913,3272,596,1574,1479,638,1481,1724,3719,1185,5138,3806,626,5087,7699,5570,3502,3938,308,401,383,2759,2.66496,2.63589,84462.2,85442.6,1575325.059
PH_103,F1,884,812,2283,1557,451,2996,3856,3526,724,5156,2745,2798,2173,2885,645,1436,1676,599,1224,1429,4008,1177,5216,3992,981,5373,7107,5352,3826,4139,223,498,475,2444,872,662,2341,1739,439,3281,4611,3057,889,4876,2342,3505,1913,3327,588,1570,1472,603,1446,1716,3660,1168,5176,3794,614,4977,7642,5583,3445,3875,290,429,315,2723,2.68019,2.67741,84651.4,84942,1575325.059
PH_103,F2,890,823,2320,1568,471,3126,3780,3516,732,5190,2745,2830,2088,2913,649,1470,1628,579,1212,1451,4064,1193,5241,4037,932,5355,7051,5387,3863,4128,244,482,440,2464,878,651,2311,1761,420,3300,4591,3076,894,4869,2355,3375,1896,3371,603,1581,1471,652,1493,1734,3685,1162,5253,3805,617,5026,7634,5573,3512,3893,287,431,317,2735,2.69394,2.68266,84861.3,85213.3,1575325.059
PH_104,F0,1053,734,2961,2090,517,3447,5173,4203,1173,6272,3177,3953,2544,3827,828,1309,2688,854,1846,1857,4378,1475,5108,4330,1048,7330,8091,5137,4331,3885,303,531,513,2606,1015,1214,2631,2179,465,3845,5679,4102,1031,6223,2787,4153,2398,4210,804,1729,1473,978,1813,2058,3887,1528,5723,4381,879,8012,8085,6033,3812,3215,392,624,328,2820,2.56562,2.53046,99573.2,100506,1823641.896
PH_104,F1,1067,763,2996,2081,466,3483,5215,3991,1151,6163,3220,4055,2588,3794,824,1321,2737,867,1873,1803,4537,1425,5218,4325,1038,7388,8294,5215,4267,3923,331,519,547,2659,1009,1242,2638,2236,441,3895,5799,4028,1047,6380,2785,4339,2398,4247,818,1766,1484,1000,1813,2081,4000,1524,5677,4435,923,7852,8146,6128,3848,3225,403,580,339,2892,2.56488,2.53102,100147,101415,1823641.896
PH_104,F2,1056,781,3032,2135,490,3542,5280,4107,1186,6381,3361,4002,2580,3832,839,1393,2722,880,1867,1900,4607,1479,5340,4367,1064,7468,8470,5285,4227,3952,335,473,532,2699,1023,1242,2681,2205,435,3742,5771,4120,1057,6272,2936,4373,2485,4248,817,1815,1483,995,1835,2095,4093,1550,5822,4457,914,7997,8343,6051,3819,3271,400,550,344,2885,2.57879,2.55126,101664,102125,1823641.896
PH_105,F0,1094,567,1946,1799,414,3714,4361,3677,872,5530,2793,3437,1995,3360,593,1293,1197,773,1084,1689,4362,1074,4389,3547,736,5591,7613,4699,4278,4106,288,569,461,2338,1002,819,1547,1837,402,3599,4926,3198,740,5687,2768,3422,1914,3445,561,1525,1304,875,1379,1880,4340,986,4672,3660,612,5297,7358,5297,4089,3946,332,520,341,2482,2.6136,2.6331,86235.5,86761.6,1618113.797
