id,session,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,cortex
PH_107,F0,550.9,724.7,591.5,682.2,400.2,414.1,547.2,566.6,788,541.4,521.4,658.2,623.7,609.5,489.1,530.4,631.6,590.2,551.7,817.7,421.4,733.3,477.2,690.6,629.3,566.6,541.8,453,565.8,523.4,649.1,560.7,522.2,526.3,651.3,823.3,503.5,621.3,432.2,414,567.5,580.5,710.4,527.6,485.5,547.6,713.7,597.6,516.2,488,628,551.2,567.7,688.1,463.3,731.2,496.2,577.4,727.7,504.6,499.1,435.8,588.1,510.4,571.8,550.3,593.5,542.9,546.9731879
PH_107,F1,526.9,687.1,502.7,623.3,386,425.3,507.3,553,759.4,524.3,488.8,646.6,590.2,551.7,496.7,501.6,586.5,536.2,496.5,743,422.1,656.8,428.1,652.1,596.1,486.3,488.2,412.7,516,465.7,604.6,496.2,527.7,476.8,573.8,774.5,457.2,592.5,390.1,394.4,516.1,531.3,691.7,509.7,509.9,531.8,680.4,550.2,493.2,458.5,584.4,481.5,513.4,642.3,422.8,626.1,434.1,577.3,679.5,456.8,491.6,414.4,527.4,458.9,490.1,555.7,515.5,509.9,508.1249892
PH_107,F2,522.8,652.8,495,628,407.9,389.8,514.8,512.8,767.5,543.1,445.5,646.7,603.7,548.9,493.2,502,612.3,532.3,508.3,754.8,395.8,663.7,442.9,647.7,604.5,512.5,474.3,421.2,527,484.1,593.7,513,517.3,510,605,752.8,477.2,600.5,477.5,388.6,545.1,538.5,684.5,531.4,480.5,512.6,672.9,555.3,454.2,504.9,628.1,522.4,533.2,668,441.8,669.3,485.8,599.7,718.7,485.5,460,432.6,549.4,471.7,562.4,581.7,556.9,534,515.1172289
PH_108,F0,836.3,1058,754.7,935.8,647.3,602.7,787.9,815.6,1013,690.9,631.7,721.4,903.1,933.1,659.3,770.4,896.1,794.2,800.5,806.8,671.9,959.6,739.4,909.9,852.8,742.6,703.8,617.6,880.3,738.4,726.5,702.5,816.7,708.1,941.2,952.6,715.9,690.8,676.7,566.5,820.2,829.5,791.4,732.3,630.3,577.2,922.8,868,595.7,635.5,856.4,757.9,731.2,574,687.3,774.8,728.3,688.3,903.6,609.8,679.2,624.2,868.1,713.7,888,682.5,837.9,780.3,744.3075084
PH_108,F1,607.2,817.1,590.3,702.2,397.3,452.1,643.4,532.7,680.7,545.4,481.7,544.1,685.6,682.2,473.3,639.1,622.7,512.6,555.9,640.9,578.6,737.7,578.8,680.3,746.3,624.7,592.1,522.4,644.6,583.8,607.5,312.3,528.5,419,616.2,535.9,426.7,541.6,441.8,374,549.2,539.9,474,487.9,474.5,400.1,532.3,442.3,437.6,473.2,453.6,297.5,315.4,404,449.2,510.7,437.2,523.6,522.7,310,461.6,440.6,434.1,436.1,376.7,583.2,527.3,551.9,521.6931482
PH_108,F2,597,846.4,584,725,448.5,444.9,595.7,564.1,767.8,546.8,502.1,560.3,716.9,701.9,493.3,625.8,723.9,629.3,679.4,660,508.2,781.4,562.8,673.6,658.9,603.4,587.7,471.3,666.9,574.9,618.6,503.9,628.1,552.7,691.3,765.8,572.3,509.4,503.6,418.1,642.2,615,569.2,556.2,512.8,448.9,704.7,660.9,538,520.8,674.6,645,614.6,451.9,516.4,626.6,554.5,522.3,683.7,518.4,578.1,488.4,640.2,568.6,793.7,541.1,615.1,589.7,579.2387555
PH_109,F0,577,777,628.3,690.1,515.8,444.5,528.4,531,781.5,498.1,495.9,574.2,730.3,611.1,508.9,536.7,624.7,627.2,579.1,682,480.1,701.2,540.3,635.7,740.6,569.2,572.2,475.2,633.8,530.3,663.5,610.8,618.3,611,679.5,853.1,535,598.7,507.3,451.7,634,615.5,725.3,545.6,485.4,580.4,848.8,657.9,528.7,539.2,590.3,660.2,594.1,629.7,488.2,727.1,537.1,570.2,857.1,516.9,520,466.3,680.5,544.7,562.5,672,660.9,611.2,572.2104628
PH_109,F1,512.5,734,504.5,651.4,445,415.8,453.4,463.9,747,451.6,431,581.1,614.9,541.4,511.1,495.5,550.1,529.9,498.7,666,440.5,663,454.6,612.4,636.8,493.3,530.4,433.6,559.6,483.3,545.7,476.9,566.9,544.7,585.6,773.2,426.8,559,429.9,407.6,535.8,522.6,692,475.8,418.1,573.3,704.2,568,482.1,489.4,524.5,531.5,492.7,596,428.4,640.3,449.5,543.4,737.4,417.8,464.7,415.9,595,481.7,473.4,561.5,611.6,541.7,505.4071804
PH_109,F2,484.3,620.2,499.1,645.2,365.8,372,452.2,438.6,657.8,463.6,400,531.8,545.5,497.4,439.5,461.5,498,487.9,463.6,630.9,430.9,602.5,438.6,564.5,549.9,461.9,498.9,431.2,492.1,451.8,513.1,415.7,477.1,447.7,526,649.5,424.1,560.2,383.1,376.3,535.2,485,590.4,481.7,399.2,526.6,615.1,511.9,407.3,483.5,504.6,556.8,487.1,587.1,412.1,615.3,438.1,491,635.2,452.9,427.4,415.1,520.4,455.6,470,469.2,527.5,472.9,474.9419644
PH_110,F0,516.9,703.1,501.3,602.5,368.7,369.1,447.6,470.7,603.7,429.2,405.4,537.9,504.8,536,418.7,440.9,563.2,481.5,512.6,544.5,469.2,639.7,467.7,562.5,582.7,515.3,476.2,378.4,539.2,479.9,524.8,472,489.9,469,558.8,768.7,449.3,555.5,340,310.3,474.4,457.6,577.4,455.6,407.5,452.4,627.3,540.6,375.5,408.8,541.7,467.7,487.2,428.5,398.9,601.6,428.5,430.7,666.7,459.5,470.9,383.2,539.5,467.2,539,529.4,465.3,445.6,473.2634492
PH_110,F1,583.5,790.8,517.1,628.6,368.2,376.7,517.4,503.3,709.5,515.2,435,543.6,629.6,596.3,413.4,495.3,603.1,572.9,579.6,564.7,490.1,709.9,481.8,606.4,668.9,582.8,514,437.5,566.9,528.8,620.9,436.6,538.5,468,687.5,794.1,482.7,639.4,377.4,368.7,551.3,544.1,609.9,585,479.1,504.2,653.8,579.9,356.5,494.8,569.1,511.6,497.3,513.3,469.8,690.2,474.6,511.2,665.7,490.7,504.1,449.2,604.3,545.7,589.3,508.5,582.3,518,524.9224716
PH_110,F2,593,755.3,525.2,731.5,431,439,504.1,543.5,773.1,574.4,471.3,625,603.3,585.1,460.9,480.7,631.9,578.7,612.7,639.3,494.1,695.4,507.9,638.9,642,566.6,501.8,442.4,566.2,518.2,620.7,547.2,539.8,515.7,666.1,821,477,704.9,437.6,444,532,546.6,699.9,623.9,510.5,613,672.3,589.9,480,464.6,628.7,568.8,548.6,599.7,480.8,672.4,486,560,702.7,528.6,486.3,471.2,628.8,532.1,616.9,604.5,592.6,536.9,544.3808389
PH_111,F0,624.5,804.5,619.5,746.2,424.4,467.8,612.5,635,781.9,606.1,520.9,686.2,631.6,670.6,530.4,631.4,681.4,583.9,592.3,708.9,588.8,763.4,627.1,673.2,683.5,520.4,523.8,533.4,646.1,606.1,443,480.8,613.2,577.5,737.3,852.3,542.2,654,430.8,502.2,646.5,683.7,717.8,656.9,483.2,590,749.9,682.5,485.3,565.4,657.7,602.7,562.6,585.9,573.2,709.5,545,571.8,774,471.5,471,506.6,673.7,645.3,506.4,465,680.4,616.2,589.1379278
PH_111,F1,645.8,879.3,641.6,838.3,470.6,504.9,625.4,693,831.5,641.1,541.9,725,694.6,687.9,562,635.4,708.5,648.4,637,763.2,564.9,799,626.5,746.5,741.8,585.7,564.5,551.7,669.6,630.4,488.9,539.4,623.3,615.6,762.4,881.6,542.3,752.2,460.4,517.4,703.3,690.1,743.3,700.1,519.6,666,763.8,715.1,542.2,543.3,671.9,585.7,559.9,648.6,560.5,690.8,553.9,635.4,763.5,505.6,484.8,567,689.2,662.5,510.3,494.8,704.6,625,618.2607085
PH_111,F2,548.5,699.4,545.2,687,434.5,419.8,552.6,558.9,738,536,455.6,666.9,632,587.6,488.1,553.6,565.9,513.3,523.4,677.6,461.4,695.9,532.4,638.4,682.8,463.6,483.8,448.8,547,527.5,388.8,408.2,479.7,463.5,627.2,649.2,469.4,591.5,414.1,442.4,590.4,605.5,637.7,578,429.9,560.4,672.9,590.2,425.9,455.2,527.3,497,453.1,531.8,450.3,615.2,415.4,526,693.4,391.8,416.3,454.2,551.4,526.4,494.5,432.7,532.9,459.5,514.2507151
