id,session,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,Left-Hippocampus.long,Right-Hippocampus.long
PH_105,F2,516.84,606.77,393.17,432.77,612.46,645.06,610.22,379.12,442.75,407.42,474.03,545.74,490.53,724.4,572.16,584.36,538.74,464.02,513.45,584.93,375.02,368.64,624.49,617.85,541.49,386.1,420.49,340.79,526.9,450.63,602.91,510.86,491.76,445.9,382.56,375.96,557.22,910.93,981.69,806.54,790.84,718.24,555.3761075,534.5602673
PH_106,F0,369.68,463,329.53,298.5,369.6,405.19,437.86,337.06,396.38,378.54,419.19,441.13,399.88,579.05,540.31,423.99,492.19,423.7,341.56,413.69,296.75,259.35,448.06,355.86,375.11,304.7,369.53,321.93,318.29,356.68,415.21,371,466.83,328.17,282.16,183.9,490.73,795.59,988.45,749.93,918.09,635.03,441.0269263,312.8002599
PH_106,F1,242.79,311.07,273.85,249.34,248.01,266.15,337.25,251.44,312.16,339.2,350.27,384.1,425.4,521.63,380.5,351.21,454.69,371.11,243.68,307.1,279.2,206.25,296.81,241.97,348.86,246.1,299.9,302.41,260.67,399.3,332.98,347.48,478.61,317.7,211.79,134.84,602.32,536.07,861.51,878.96,1011.9,612.15,378.4045905,257.0717942
PH_106,F2,284.78,360.35,276.11,313.23,302.49,312.79,369.01,301.14,359.11,364.29,354.54,424.18,428.36,477.99,434.84,381.45,519.78,347.99,245.92,307.96,271.62,212.54,341.1,276.44,325.28,250.51,306.7,295.21,280.57,358.47,304.75,307.3,391.27,278.44,234.91,129.15,555.05,643.43,803.02,655.01,803.16,571.66,420.8312645,280.659305
PH_107,F0,462.55,553.8,307.66,359.44,548.48,607.86,451.04,278.12,360.29,304.45,432.06,412.78,417.2,477.11,479.19,427.76,481.87,346.1,450.68,541.91,342.65,391.09,517.77,600.12,466.76,335.67,378.49,342.03,439.75,406.87,465.52,460.31,486.99,349.63,243.08,318.63,520.62,731.72,821.31,776.42,675.67,617.18,419.2071655,444.3697949
PH_107,F1,436.55,512.21,306.95,368.06,537.93,584.74,441.67,246.59,343.83,292.24,412.4,396.87,392.65,433.27,445.27,403.71,475.18,347.84,426.65,505.58,326.77,345.64,511.27,569.01,434.39,315.09,344.16,358.05,410.57,433.53,454.99,377.03,417.42,340.99,226.48,402.74,686.7,749.67,590.07,655.99,559.48,0,405.5424016,412.4588185
PH_107,F2,436.94,512,293.92,301.12,490.21,521.93,432.28,283.71,327.7,287.41,368.13,377.15,347.77,439.88,505.63,421.66,434.2,310.94,441.13,519.85,328.24,387.59,439.55,507.67,445.26,339.41,378.09,347.28,427.79,437.01,488.42,440.05,512.8,332.27,234.64,521.13,747.75,777.54,676.53,634.78,602.78,0,386.2546274,430.0941429
PH_108,F0,631.89,763.59,458.46,478.1,574.39,671.18,624.61,382.98,502.03,460.34,465.95,584.06,574.37,442.68,586.8,580.43,621.4,427.11,614.11,727.72,373.11,503.64,527.47,641.23,570.38,386.75,533.74,445.62,592.02,606.75,581.57,554.34,677.35,393.16,312.2,428.4,658.36,820.13,1110.3,946.2,948.6,864.4,594.458449,595.4619677
PH_108,F1,493.01,586.04,401.06,449.19,385.42,472.52,531.54,323.75,454.36,369.88,345.25,473.33,453.84,381.64,407.72,484.07,591.6,360.65,437.47,458.33,281.64,383.17,381.45,429.43,361.53,366.08,464.52,430.19,443.54,396.53,476.81,403.13,422.79,266.61,340.13,231.53,568.56,478.02,541.09,515.12,588.17,559.29,474.83524,439.7473597
PH_108,F2,479.5,590.79,349.49,340.67,426.65,495.57,493.93,312.11,405.3,299.93,360.76,436.98,400.07,374.97,430.05,440.85,521.52,316.12,476.23,569.44,282.94,338.67,455.78,483.78,437.96,334.24,415.31,384.91,506.81,455.81,490.97,415.7,498.46,313.97,273.61,240.58,416.84,560.54,941.66,751.64,727.57,657.93,443.4344535,508.9526408
PH_109,F0,479.75,569.01,315.01,388.48,528.04,563.19,434.56,259.52,386.01,346.35,408.36,436.92,443.76,304.48,521.11,502.26,488.24,319.94,482.73,577.12,340.93,364.18,505.8,550.77,441.85,300.98,408.96,358.2,457.94,446.78,453.7,503.24,457.97,320.12,302.92,260.67,674.41,748.4,964.94,909.4,970.52,850.66,445.4322189,458.9329058
PH_109,F1,427.62,508.97,300.42,356.88,537.76,553.61,442,233.64,332.15,319.02,404.85,428.23,373.44,279.98,463.52,501.15,403.57,314.8,415.7,503.11,301.77,338.19,508.86,546.26,423.76,265.88,366.43,320.95,398.85,409.75,419.76,477.81,448.5,303.87,264.06,203.45,546.24,698.79,908.33,823.2,886.47,731.18,438.6820586,398.1250636
PH_109,F2,399.28,475.08,264.59,296.09,474.73,501.6,372.36,238.14,292.22,280.56,337.99,386.23,320.88,272.52,417.9,416.14,364.66,282.92,399.86,476.13,272.45,276.9,446.56,493.3,377.94,249.5,300.05,269.85,356.07,306.35,332.65,419.82,328.67,269.25,263.63,117.12,494.95,616.68,771.94,718.26,747.58,619.41,391.6900466,356.2280122
PH_110,F0,394.04,484.05,281.46,314.88,423.46,478.82,380.29,237.47,279.07,247.55,339.7,351.18,299.32,524.35,411.41,397.14,316.01,349.48,376.39,465.96,295.92,274.76,384.42,460.89,380.59,280.35,259.6,207.24,301.92,271.15,420.5,396.45,319.84,289.16,209.89,293.13,467.36,648.16,830.31,726.73,636.9,537.69,349.8284207,300.031299
PH_110,F1,436.77,528.67,323.28,334.47,438.85,483.37,407.73,266.73,311.98,287.86,356.97,361.15,341.93,555.91,444.09,428.47,369.7,378.06,442.72,525.14,294.37,373.66,433.5,497.43,393.74,294.39,298.83,294.09,378.99,363.86,491.88,419.21,378.7,302.14,216.04,337.16,429.92,693.02,942.36,754.6,673.61,527.05,360.6493338,379.8306135
PH_110,F2,463.51,544.21,321.68,353.27,510.61,557.72,413.3,287.59,309.94,266.4,407.88,400.49,353.66,556.8,475.23,399.4,361.46,372.41,466.19,547.82,345.53,399.85,515.36,576.17,426.84,336.7,339.98,271.36,429.81,380.41,529.22,429.81,420.25,348.37,255.17,423.42,457.59,713.58,910.92,701.6,706.3,512.18,401.544171,430.2326318
PH_111,F0,514.35,595.74,416.47,317.94,558.6,591.99,488.76,320.81,357.68,320.47,456.06,440.12,398.15,592.45,463.92,459.7,407.25,439.1,492.13,585.13,389.15,343.37,508.08,558.66,498.38,371.95,363.17,328.95,447.55,429.49,515.35,479.82,432.93,383.56,318.65,678.7,840.04,952.28,766.41,681.98,725.69,0,441.6143123,446.9880564
PH_111,F1,543.61,628.68,447.58,374.75,568.62,626.58,543.38,372.36,380.62,422.01,467.09,475.12,483.64,585.02,573.44,493.38,463.26,486.35,510.12,610.62,402.31,361.91,562.92,619.85,515.95,357.27,375.6,318.06,478.64,445.3,536.87,480.84,492.5,416.12,337.24,414.62,713.25,872.01,905.24,709.92,674.77,735.29,474.6865038,485.3773767
PH_111,F2,455.5,527.68,385.87,319.1,494.9,554.86,466.2,325.97,335.2,368.85,363.43,420.27,405.53,546.45,458.57,403.87,421.15,402.39,417.27,502.57,305.6,363.9,450.87,531.5,424.56,268.11,386.85,309.27,437.49,388.77,417.14,386.08,447.56,319.27,301.48,167.77,591.58,782.5,847.57,606.71,494.36,532.46,423.043352,438.0645039
